"Class","Package","File","Role","AndroidSpecific","NetworkApi","RoomSqlite","Auth0Okta","CameraMlkitOcr","Jira","N8nAutomation","AiGateway","Coupling","Classification","Shared","RefactoringNeeded","Priority"
"AIChatActivity","com.example.stockit","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\AIChatActivity.java","See package-level mapping","True","False","False","False","False","False","False","False","Medium","ANDROID-ONLY","No","None","P3"
"BatchScanActivity","com.example.stockit","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\BatchScanActivity.java","See package-level mapping","True","False","False","False","True","False","False","False","High","ANDROID-ONLY","No","None","P3"
"ChatActivity","com.example.stockit","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\ChatActivity.java","See package-level mapping","True","False","False","False","False","False","False","False","Medium","ANDROID-ONLY","No","None","P3"
"ClaimActivity","com.example.stockit","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\ClaimActivity.java","See package-level mapping","True","False","False","False","False","False","False","False","Medium","ANDROID-ONLY","No","None","P3"
"LoginActivity","com.example.stockit","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\LoginActivity.java","See package-level mapping","True","False","False","True","False","False","False","False","High","ANDROID-ONLY","No","None","P3"
"MainActivity","com.example.stockit","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\MainActivity.java","See package-level mapping","True","False","False","True","False","False","True","True","High","ANDROID-ONLY","No","None","P3"
"MyFirebaseMessagingService","com.example.stockit","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\MyFirebaseMessagingService.java","See package-level mapping","True","False","False","False","False","False","True","False","Medium","ANDROID-ONLY","No","None","P3"
"PackageLabelActivity","com.example.stockit","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\PackageLabelActivity.java","See package-level mapping","True","False","False","False","True","False","False","False","High","ANDROID-ONLY","No","None","P3"
"POSelectionActivity","com.example.stockit","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\POSelectionActivity.java","See package-level mapping","True","False","False","False","True","False","False","True","High","ANDROID-ONLY","No","None","P3"
"ProfileActivity","com.example.stockit","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\ProfileActivity.java","See package-level mapping","True","False","False","False","False","False","False","False","Medium","ANDROID-ONLY","No","None","P3"
"ReceivePackageActivity","com.example.stockit","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\ReceivePackageActivity.java","See package-level mapping","True","False","False","False","True","True","True","False","High","ANDROID-ONLY","No","None","P3"
